exercise_year,scenario_code,scenario_label,n_banks,mean_cet1_actual_ratio,mean_cet1_min_ratio,mean_cet1_depletion_min,total_loan_losses_amount,total_ppnr_amount,total_pretax_net_income_amount,mean_ppnr_loss_absorption_ratio,mean_rwa_growth_rate
2012,3,Supervisory Severely Adverse,19,NA,NA,NA,633.3000000000001,535.8,-380.9,0.9271072731000952,NA
2013,2,Supervisory Adverse,31,NA,10.087096774193549,NA,533,888.5,184.9,1.6758821197432043,NA
2013,3,Supervisory Severely Adverse,31,NA,8.587096774193549,NA,732.3000000000001,631.6999999999999,-434.1,0.8325480200648291,NA
2014,2,Supervisory Adverse,32,13.24,10.8875,3.153333333333333,469.9,1002.3,355.7,2.1819346016056382,NA
2014,3,Supervisory Severely Adverse,32,13.24,9.134375,4.806666666666667,680.6,619.4,-444.2,0.9132172594600234,NA
2015,2,Supervisory Adverse,34,12.5,10.885294117647058,1.6147058823529412,504.09999999999997,949.7,283.2,1.6595332690989797,0.12006701559814524
2015,3,Supervisory Severely Adverse,34,12.5,8.885294117647058,3.614705882352941,769.8,767.3000000000001,-390,0.770518755582373,0.10393400763819062
2016,2,Supervisory Adverse,35,13.657142857142857,12.134285714285713,1.522857142857143,514.6,1081.9,428.2,1.985899068132576,0.10408012318365525
2016,3,Supervisory Severely Adverse,35,13.657142857142857,10.525714285714287,3.1314285714285712,766,835,-222.6,0.9703170129983488,0.07461740000259498
2017,2,Supervisory Adverse,36,12.863888888888889,11.122222222222222,1.7416666666666665,525.6,933.4,249.9,1.424945935611861,0.07338522909803367
2017,3,Supervisory Severely Adverse,36,12.863888888888889,8.822222222222223,4.041666666666667,858.1,984.2,-277,0.8869753483553727,0.04509713688061211
2018,2,Supervisory Adverse,19,14.194736842105263,12.715789473684211,1.4789473684210523,387.2,774,255.3,1.602977103317297,0.034478806296862105
2018,3,Supervisory Severely Adverse,19,14.194736842105263,10.468421052631578,3.7263157894736842,591.7,653.7,-229.70000000000002,0.8737780015496037,0.01091249461453826
2019,3,Supervisory Severely Adverse,34,13.138235294117647,10.402941176470588,2.735294117647059,865.3000000000001,858.5,-354.2,0.8034198448286347,-0.01189183829105527
2020,3,Supervisory Severely Adverse,35,13.918965517241379,11.010344827586207,2.9086206896551725,1734.6,1338.5,-579.9,0.7412941107266358,-0.014265816724640036
2020,30,Supervisory Alternative Severe,34,13.397058823529411,10.361764705882353,3.0352941176470587,982.5,725.6999999999999,-396.90000000000003,0.6371474445252627,-0.01497348177491129
2021,3,Supervisory Severely Adverse,34,13.632352941176471,10.941176470588236,2.6911764705882355,926.8,824.2,-395.4,1.0254211928785864,-0.011004956879673778
2022,3,Supervisory Severely Adverse,24,14.008333333333333,10.933333333333334,3.075,848,698.1,-380.5,1.092639015131141,-0.016084525960548234
2023,3,Supervisory Severely Adverse,32,13.065625,9.746875,3.31875,1138.8,826.6,-540.6,0.7922146403111782,-0.015378337888088135
2024,3,Supervisory Severely Adverse,23,14.58695652173913,12.18695652173913,2.4,943.8,938.4,-160.70000000000002,1.2255821804626883,-0.016061609707012446
2025,3,Supervisory Severely Adverse,33,13.387878787878789,11.463636363636363,1.9242424242424243,1249.7,1438.1,2.600000000000004,1.6084048762355123,-0.009353499438314962
