bank_rssd_id,bank_name,exercise_year,exercise_quarter,exercise_name_std,scenario_code,scenario_label,cet1_actual_ratio,cet1_end_ratio,cet1_min_ratio,tier1_actual_ratio,tier1_end_ratio,tier1_min_ratio,total_capital_actual_ratio,total_capital_end_ratio,total_capital_min_ratio,tier1_leverage_actual_ratio,tier1_leverage_end_ratio,tier1_leverage_min_ratio,supp_leverage_actual_ratio,supp_leverage_end_ratio,supp_leverage_min_ratio,rwa_actual_amount,rwa_end_amount,total_loan_losses_amount,total_loan_losses_rate,ppnr_amount,ppnr_rate,provision_amount,pretax_net_income_amount,pretax_net_income_rate,net_interest_income_amount,noninterest_income_amount,noninterest_expense_amount,other_revenue_amount,securities_losses_amount,trading_counterparty_losses_amount,other_losses_amount,aoci_actual_amount,aoci_end_amount,cet1_depletion_end,cet1_depletion_min,tier1_depletion_end,tier1_depletion_min,total_capital_depletion_end,total_capital_depletion_min,leverage_depletion_end,leverage_depletion_min,rwa_change_amount,rwa_growth_rate,total_market_operational_losses_amount,total_observed_losses_amount,ppnr_loss_absorption_ratio,provision_to_loan_loss_ratio,pretax_income_to_ppnr_ratio,loan_loss_burden_on_ppnr,observed_loss_burden_on_ppnr,aoci_change_amount
NA,18 participating bank holding companies,2012,9/30/2012,DFAST 2013,3,Supervisory Severely Adverse,NA,NA,NA,12.9,9.1,8.9,15.7,11.7,11.6,8,5.9,5.9,NA,NA,NA,NA,NA,316.6,7.5,267.8,2.4,317.2,-194.1,-1.7,NA,NA,NA,1.2,12.9,97,36,NA,NA,NA,NA,3.8000000000000007,4,4,4.1,2.0999999999999996,2.0999999999999996,NA,NA,145.9,462.5,0.579027027027027,1.0018951358180668,-0.7247946228528752,1.1822255414488425,1.7270351008215086,NA
1562859,Ally Financial Inc.,2012,9/30/2012,DFAST 2013,3,Supervisory Severely Adverse,NA,NA,NA,13.6,11,11,14.6,12.6,12.6,11.3,9.4,9.4,NA,NA,NA,NA,NA,4.5,5.2,-3.7,-2.8,5.1,-9.3,-7.1,NA,NA,NA,0.3,0.7,0,0,NA,NA,NA,NA,2.5999999999999996,2.5999999999999996,2,2,1.9000000000000004,1.9000000000000004,NA,NA,0.7,5.2,-0.7115384615384616,1.1333333333333333,2.5135135135135136,-1.2162162162162162,-1.4054054054054055,NA
1275216,American Express Company,2012,9/30/2012,DFAST 2013,3,Supervisory Severely Adverse,NA,NA,NA,12.7,11.3,11.1,14.7,13.4,13.2,10.7,9.5,8.9,NA,NA,NA,NA,NA,10.7,11.2,15.4,11,14.2,0.8,0.6,NA,NA,NA,0,0,0,0.4,NA,NA,NA,NA,1.3999999999999986,1.5999999999999996,1.299999999999999,1.5,1.1999999999999993,1.799999999999999,NA,NA,0.4,11.1,1.3873873873873874,1.3271028037383177,0.05194805194805195,0.6948051948051948,0.7207792207792207,NA
1074156,BB&T Corporation,2012,9/30/2012,DFAST 2013,3,Supervisory Severely Adverse,NA,NA,NA,10.9,11.2,11.2,14,13.4,13.4,7.9,8.3,7.9,NA,NA,NA,NA,NA,5.9,5.5,7.1,4.1,6.4,0.6,0.3,NA,NA,NA,0,0.1,0,0.1,NA,NA,NA,NA,-0.29999999999999893,-0.29999999999999893,0.5999999999999996,0.5999999999999996,-0.40000000000000036,0,NA,NA,0.2,6.1,1.1639344262295082,1.0847457627118644,0.08450704225352113,0.8309859154929579,0.8591549295774648,NA
1073757,Bank of America Corporation,2012,9/30/2012,DFAST 2013,3,Supervisory Severely Adverse,NA,NA,NA,13.6,8.5,8.5,17.2,11.6,11.6,7.8,5.4,5.4,NA,NA,NA,NA,NA,57.5,6.9,24.1,1.3,49.7,-51.8,-2.7,NA,NA,NA,1,0.5,14.1,12.5,NA,NA,NA,NA,5.1,5.1,5.6,5.6,2.3999999999999995,2.3999999999999995,NA,NA,27.1,84.6,0.2848699763593381,0.8643478260869566,-2.1493775933609958,2.3858921161825726,3.510373443983402,NA
2277860,Capital One Financial Corporation,2012,9/30/2012,DFAST 2013,3,Supervisory Severely Adverse,NA,NA,NA,12.7,7.8,7.8,15,10.1,10.1,9.9,5.7,5.7,NA,NA,NA,NA,NA,23.6,13.2,18.7,6.7,26.4,-0.8,-2.9,NA,NA,NA,0,0.3,0,0,NA,NA,NA,NA,4.8999999999999995,4.8999999999999995,4.9,4.9,4.2,4.2,NA,NA,0.3,23.900000000000002,0.7824267782426777,1.11864406779661,-0.04278074866310161,1.2620320855614975,1.2780748663101607,NA
1951350,Citigroup Inc.,2012,9/30/2012,DFAST 2013,3,Supervisory Severely Adverse,NA,NA,NA,13.9,9.8,9.3,17.1,12.9,12.5,7.4,5.6,5.3,NA,NA,NA,NA,NA,54.6,9.2,44,2.5,49.4,-28.6,-1.6,NA,NA,NA,0,4.4,15.9,2.7,NA,NA,NA,NA,4.1,4.6,4.200000000000001,4.600000000000001,1.8000000000000007,2.1000000000000005,NA,NA,23,77.60000000000001,0.5670103092783505,0.9047619047619048,-0.65,1.240909090909091,1.763636363636364,NA
1070345,Fifth Third Bancorp,2012,9/30/2012,DFAST 2013,3,Supervisory Severely Adverse,NA,NA,NA,10.8,9.3,9.3,14.8,12.4,12.4,10.1,8.8,8.8,NA,NA,NA,NA,NA,5.3,6.3,4.9,4.2,5.1,-0.3,-0.2,NA,NA,NA,0,0.1,0,0,NA,NA,NA,NA,1.5,1.5,2.4000000000000004,2.4000000000000004,1.299999999999999,1.299999999999999,NA,NA,0.1,5.3999999999999995,0.9074074074074076,0.9622641509433962,-0.06122448979591836,1.0816326530612244,1.1020408163265305,NA
1039502,JPMorgan Chase & Co.,2012,9/30/2012,DFAST 2013,3,Supervisory Severely Adverse,NA,NA,NA,11.9,7.9,7.4,14.7,10.3,9.9,7.1,4.7,4.7,NA,NA,NA,NA,NA,53.9,7.7,45,2,51.3,-32.3,-1.4,NA,NA,NA,0,0.9,23.5,1.6,NA,NA,NA,NA,4,4.5,4.399999999999999,4.799999999999999,2.3999999999999995,2.3999999999999995,NA,NA,26,79.89999999999999,0.5632040050062579,0.9517625231910946,-0.7177777777777777,1.1977777777777778,1.7755555555555553,NA
1068025,KeyCorp,2012,9/30/2012,DFAST 2013,3,Supervisory Severely Adverse,NA,NA,NA,12.1,8.6,8.6,15.2,11.2,11.2,11.4,8.1,8.1,NA,NA,NA,NA,NA,3.9,7.3,2.5,3,4.3,-2.4,-2.8,NA,NA,NA,0,0,0,0.6,NA,NA,NA,NA,3.5,3.5,4,4,3.3000000000000007,3.3000000000000007,NA,NA,0.6,4.5,0.5555555555555556,1.1025641025641026,-0.96,1.56,1.8,NA
